entry_id,entry_date,entity,debit_account,credit_account,amount,explanation,source_transaction_ids,support_status,approval_status
AJE-011,2026-06-30,DWG Capital Partners,Deal Cost (capitalize?),Deal Expense,75000.0,"Deal-specific cost for unnamed deal — evaluate whether to capitalize, reimburse, or expense.",87e1b54d2a3774ab,Needs CPA determination,Proposed — Pending Approval
AJE-012,2026-06-30,DWG Capital Partners,Deal Cost (capitalize?),Deal Expense,50000.0,"Deal-specific cost for unnamed deal — evaluate whether to capitalize, reimburse, or expense.",5ee46cd1ca492d64,Needs CPA determination,Proposed — Pending Approval
AJE-013,2026-06-30,DWG Capital Partners,Deal Cost (capitalize?),Deal Expense,5000.0,"Deal-specific cost for unnamed deal — evaluate whether to capitalize, reimburse, or expense.",17624dbc90b6d5cb,Needs CPA determination,Proposed — Pending Approval
AJE-014,2026-06-30,DWG Capital Partners,Deal Cost (capitalize?),Deal Expense,20243.89,"Deal-specific cost for 260 S Hibbert - Taxes — evaluate whether to capitalize, reimburse, or expense.",4a7136838e1d4d79,Needs CPA determination,Proposed — Pending Approval
AJE-015,2026-06-30,DWG Capital Partners,Deal Cost (capitalize?),Deal Expense,8287.62,"Deal-specific cost for 260 S Hibbert - Insurance — evaluate whether to capitalize, reimburse, or expense.",acf0f3d35d5d6381,Needs CPA determination,Proposed — Pending Approval
AJE-016,2026-06-30,Poseidon Asset Group,Deal Cost (capitalize?),Deal Expense,620000.0,"Deal-specific cost for Moab — evaluate whether to capitalize, reimburse, or expense.",171ff98f9217b1df,Needs CPA determination,Proposed — Pending Approval
AJE-017,2026-06-30,Poseidon Asset Group,Deal Cost (capitalize?),Deal Expense,100000.0,"Deal-specific cost for Cloverdale — evaluate whether to capitalize, reimburse, or expense.",3c6fe0ff5302ddef,Needs CPA determination,Proposed — Pending Approval
AJE-018,2026-06-30,Poseidon Asset Group,Deal Cost (capitalize?),Deal Expense,25000.0,"Deal-specific cost for Cloverdale — evaluate whether to capitalize, reimburse, or expense.",8fee6fe657cc74ab,Needs CPA determination,Proposed — Pending Approval
AJE-019,2026-06-30,Poseidon Asset Group,Deal Cost (capitalize?),Deal Expense,25000.0,"Deal-specific cost for Cloverdale — evaluate whether to capitalize, reimburse, or expense.",04678018d7e7d98f,Needs CPA determination,Proposed — Pending Approval
AJE-020,2026-06-30,Poseidon Asset Group,Deal Cost (capitalize?),Deal Expense,5000.0,"Deal-specific cost for Cloverdale — evaluate whether to capitalize, reimburse, or expense.",5cfba536bb946027,Needs CPA determination,Proposed — Pending Approval
AJE-021,2026-06-30,Poseidon Asset Group,Deal Cost (capitalize?),Deal Expense,46528.05,"Deal-specific cost for Hibbert — evaluate whether to capitalize, reimburse, or expense.",d2acaa00fe8002e6,Needs CPA determination,Proposed — Pending Approval
AJE-022,2026-06-30,Poseidon Asset Group,Deal Cost (capitalize?),Deal Expense,50000.0,"Deal-specific cost for Jal Breese — evaluate whether to capitalize, reimburse, or expense.",f31769a881ce4d95,Needs CPA determination,Proposed — Pending Approval
AJE-023,2026-06-30,DWG Capital Partners,Deal Cost (capitalize?),Deal Expense,25000.0,"Deal-specific cost for unnamed deal — evaluate whether to capitalize, reimburse, or expense.",2d032dbebce90f9b,Needs CPA determination,Proposed — Pending Approval
